"ID","DateTime","Rumination","Activity"
470,"2021-05-14 06:00:00",43,39
470,"2021-05-14 08:00:00",51,43
470,"2021-05-14 10:00:00",34,57
470,"2021-05-14 12:00:00",15,52
470,"2021-05-14 14:00:00",56,55
470,"2021-05-14 16:00:00",53,29
470,"2021-05-14 18:00:00",38,51
470,"2021-05-14 20:00:00",66,36
470,"2021-05-14 22:00:00",45,50
470,"2021-05-15 00:00:00",42,55
470,"2021-05-15 02:00:00",43,39
470,"2021-05-15 04:00:00",64,30
470,"2021-05-15 06:00:00",22,36
470,"2021-05-15 08:00:00",27,56
470,"2021-05-15 10:00:00",49,41
470,"2021-05-15 12:00:00",14,66
470,"2021-05-15 14:00:00",27,45
470,"2021-05-15 16:00:00",63,33
470,"2021-05-15 18:00:00",30,45
470,"2021-05-15 20:00:00",48,53
470,"2021-05-15 22:00:00",34,40
470,"2021-05-16 00:00:00",44,43
470,"2021-05-16 02:00:00",78,30
470,"2021-05-16 04:00:00",56,28
470,"2021-05-16 06:00:00",39,43
470,"2021-05-16 08:00:00",19,45
470,"2021-05-16 10:00:00",56,34
470,"2021-05-16 12:00:00",24,64
470,"2021-05-16 14:00:00",44,64
470,"2021-05-16 16:00:00",50,32
470,"2021-05-16 18:00:00",20,50
470,"2021-05-16 20:00:00",53,40
470,"2021-05-16 22:00:00",20,65
470,"2021-05-17 00:00:00",84,38
470,"2021-05-17 02:00:00",72,37
470,"2021-05-17 04:00:00",51,30
470,"2021-05-17 06:00:00",64,47
470,"2021-05-17 08:00:00",26,51
470,"2021-05-17 10:00:00",37,49
470,"2021-05-17 12:00:00",15,83
470,"2021-05-17 14:00:00",48,73
470,"2021-05-17 16:00:00",13,72
470,"2021-05-17 18:00:00",73,36
470,"2021-05-17 20:00:00",33,51
470,"2021-05-17 22:00:00",24,64
470,"2021-05-18 00:00:00",56,40
470,"2021-05-18 02:00:00",71,40
470,"2021-05-18 04:00:00",75,28
470,"2021-05-18 06:00:00",10,46
470,"2021-05-18 08:00:00",16,79
470,"2021-05-18 10:00:00",55,78
470,"2021-05-18 12:00:00",23,72
470,"2021-05-18 14:00:00",50,64
470,"2021-05-18 16:00:00",53,34
470,"2021-05-18 18:00:00",32,53
470,"2021-05-18 20:00:00",41,48
470,"2021-05-18 22:00:00",31,56
470,"2021-05-19 00:00:00",76,43
470,"2021-05-19 02:00:00",30,34
470,"2021-05-19 04:00:00",76,30
470,"2021-05-19 06:00:00",18,43
470,"2021-05-19 08:00:00",40,54
470,"2021-05-19 10:00:00",61,36
470,"2021-05-19 12:00:00",23,59
470,"2021-05-19 14:00:00",31,29
470,"2021-05-19 16:00:00",33,51
470,"2021-05-19 18:00:00",39,36
470,"2021-05-19 20:00:00",35,54
470,"2021-05-19 22:00:00",26,55
470,"2021-05-20 00:00:00",50,35
470,"2021-05-20 02:00:00",45,31
470,"2021-05-20 04:00:00",51,30
470,"2021-05-20 06:00:00",27,42
470,"2021-05-20 08:00:00",46,51
470,"2021-05-20 10:00:00",46,41
470,"2021-05-20 12:00:00",3,50
470,"2021-05-20 14:00:00",11,70
470,"2021-05-20 16:00:00",74,36
470,"2021-05-20 18:00:00",39,42
470,"2021-05-20 20:00:00",54,40
470,"2021-05-20 22:00:00",72,43
470,"2021-05-21 00:00:00",18,32
470,"2021-05-21 02:00:00",45,37
470,"2021-05-21 04:00:00",50,29
470,"2021-05-21 06:00:00",29,40
470,"2021-05-21 08:00:00",50,42
470,"2021-05-21 10:00:00",9,35
470,"2021-05-21 12:00:00",35,63
470,"2021-05-21 14:00:00",53,52
470,"2021-05-21 16:00:00",43,34
470,"2021-05-21 18:00:00",23,36
470,"2021-05-21 20:00:00",49,28
470,"2021-05-21 22:00:00",1,52
470,"2021-05-22 00:00:00",42,36
470,"2021-05-22 02:00:00",64,52
470,"2021-05-22 04:00:00",48,31
470,"2021-05-22 06:00:00",38,43
470,"2021-05-22 08:00:00",40,32
470,"2021-05-22 10:00:00",31,38
470,"2021-05-22 12:00:00",40,47
470,"2021-05-22 14:00:00",28,46
470,"2021-05-22 16:00:00",42,37
470,"2021-05-22 18:00:00",4,38
470,"2021-05-22 20:00:00",63,31
470,"2021-05-22 22:00:00",62,34
470,"2021-05-23 00:00:00",37,44
470,"2021-05-23 02:00:00",39,30
470,"2021-05-23 04:00:00",59,30
470,"2021-05-23 06:00:00",22,38
470,"2021-05-23 08:00:00",64,36
470,"2021-05-23 10:00:00",25,28
470,"2021-05-23 12:00:00",24,53
470,"2021-05-23 14:00:00",55,30
470,"2021-05-23 16:00:00",46,29
470,"2021-05-23 18:00:00",17,53
470,"2021-05-23 20:00:00",22,39
470,"2021-05-23 22:00:00",62,38
470,"2021-05-24 00:00:00",86,32
470,"2021-05-24 02:00:00",57,38
470,"2021-05-24 04:00:00",54,31
470,"2021-05-24 06:00:00",38,40
470,"2021-05-24 08:00:00",2,47
470,"2021-05-24 10:00:00",8,39
470,"2021-05-24 12:00:00",9,29
470,"2021-05-24 14:00:00",4,45
470,"2021-05-24 16:00:00",5,33
470,"2021-05-24 18:00:00",9,40
470,"2021-05-24 20:00:00",28,39
470,"2021-05-24 22:00:00",34,37
470,"2021-05-25 00:00:00",41,35
470,"2021-05-25 02:00:00",37,29
470,"2021-05-25 04:00:00",35,47
470,"2021-05-25 06:00:00",8,46
470,"2021-05-25 08:00:00",40,33
470,"2021-05-25 10:00:00",19,44
470,"2021-05-25 12:00:00",48,58
470,"2021-05-25 14:00:00",3,48
470,"2021-05-25 16:00:00",33,44
470,"2021-05-25 18:00:00",40,40
470,"2021-05-25 20:00:00",9,39
470,"2021-05-25 22:00:00",61,40
470,"2021-05-26 00:00:00",49,37
470,"2021-05-26 02:00:00",51,31
470,"2021-05-26 04:00:00",51,28
470,"2021-05-26 06:00:00",37,44
470,"2021-05-26 08:00:00",40,41
470,"2021-05-26 10:00:00",35,31
470,"2021-05-26 12:00:00",32,43
470,"2021-05-26 14:00:00",33,55
470,"2021-05-26 16:00:00",4,36
470,"2021-05-26 18:00:00",57,30
470,"2021-05-26 20:00:00",7,43
470,"2021-05-26 22:00:00",36,46
470,"2021-05-27 00:00:00",38,31
470,"2021-05-27 02:00:00",27,27
470,"2021-05-27 04:00:00",55,32
470,"2021-05-27 06:00:00",33,42
470,"2021-05-27 08:00:00",22,39
470,"2021-05-27 10:00:00",20,33
470,"2021-05-27 12:00:00",47,37
470,"2021-05-27 14:00:00",47,40
470,"2021-05-27 16:00:00",5,39
470,"2021-05-27 18:00:00",43,32
470,"2021-05-27 20:00:00",53,31
470,"2021-05-27 22:00:00",13,48
470,"2021-05-28 00:00:00",49,35
470,"2021-05-28 02:00:00",58,29
470,"2021-05-28 04:00:00",52,27
470,"2021-05-28 06:00:00",12,43
470,"2021-05-28 08:00:00",25,36
470,"2021-05-28 10:00:00",60,34
470,"2021-05-28 12:00:00",44,36
470,"2021-05-28 14:00:00",50,39
470,"2021-05-28 16:00:00",4,51
470,"2021-05-28 18:00:00",10,34
470,"2021-05-28 20:00:00",67,30
470,"2021-05-28 22:00:00",58,40
470,"2021-05-29 00:00:00",52,40
470,"2021-05-29 02:00:00",82,32
470,"2021-05-29 04:00:00",53,33
470,"2021-05-29 06:00:00",17,42
470,"2021-05-29 08:00:00",34,39
470,"2021-05-29 10:00:00",60,31
470,"2021-05-29 12:00:00",54,41
470,"2021-05-29 14:00:00",50,36
470,"2021-05-29 16:00:00",0,42
470,"2021-05-29 18:00:00",24,44
470,"2021-05-29 20:00:00",54,29
470,"2021-05-29 22:00:00",44,51
470,"2021-05-30 00:00:00",32,30
470,"2021-05-30 02:00:00",62,35
470,"2021-05-30 04:00:00",81,28
470,"2021-05-30 06:00:00",10,49
470,"2021-05-30 08:00:00",20,38
470,"2021-05-30 10:00:00",52,30
470,"2021-05-30 12:00:00",65,43
470,"2021-05-30 14:00:00",21,91
470,"2021-05-30 16:00:00",39,43
470,"2021-05-30 18:00:00",62,46
470,"2021-05-30 20:00:00",24,44
470,"2021-05-30 22:00:00",59,48
470,"2021-05-31 00:00:00",74,34
470,"2021-05-31 02:00:00",23,38
470,"2021-05-31 04:00:00",62,28
470,"2021-05-31 06:00:00",42,59
470,"2021-05-31 08:00:00",14,42
470,"2021-05-31 10:00:00",81,35
470,"2021-05-31 12:00:00",33,54
470,"2021-05-31 14:00:00",49,57
470,"2021-05-31 16:00:00",64,33
470,"2021-05-31 18:00:00",37,46
470,"2021-05-31 20:00:00",88,33
470,"2021-05-31 22:00:00",43,44
470,"2021-06-01 00:00:00",65,28
470,"2021-06-01 02:00:00",38,38
470,"2021-06-01 04:00:00",52,28
470,"2021-06-01 06:00:00",20,68
470,"2021-06-01 08:00:00",58,43
470,"2021-06-01 10:00:00",23,42
470,"2021-06-01 12:00:00",37,46
470,"2021-06-01 14:00:00",59,55
470,"2021-06-01 16:00:00",34,49
470,"2021-06-01 18:00:00",46,43
470,"2021-06-01 20:00:00",52,40
470,"2021-06-01 22:00:00",26,41
470,"2021-06-02 00:00:00",46,32
470,"2021-06-02 02:00:00",77,30
470,"2021-06-02 04:00:00",79,29
470,"2021-06-02 06:00:00",33,53
470,"2021-06-02 08:00:00",18,73
470,"2021-06-02 10:00:00",76,34
470,"2021-06-02 12:00:00",38,47
470,"2021-06-02 14:00:00",36,49
470,"2021-06-02 16:00:00",20,78
470,"2021-06-02 18:00:00",48,41
470,"2021-06-02 20:00:00",66,31
470,"2021-06-02 22:00:00",58,41
470,"2021-06-03 00:00:00",44,58
470,"2021-06-03 02:00:00",72,41
470,"2021-06-03 04:00:00",41,27
470,"2021-06-03 06:00:00",2,54
470,"2021-06-03 08:00:00",11,66
470,"2021-06-03 10:00:00",5,118
470,"2021-06-03 12:00:00",41,76
470,"2021-06-03 14:00:00",1,134
470,"2021-06-03 16:00:00",14,113
470,"2021-06-03 18:00:00",15,137
470,"2021-06-03 20:00:00",0,139
470,"2021-06-03 22:00:00",21,122
470,"2021-06-04 00:00:00",78,56
470,"2021-06-04 02:00:00",95,30
470,"2021-06-04 04:00:00",70,31
470,"2021-06-04 06:00:00",54,50
470,"2021-06-04 08:00:00",27,45
470,"2021-06-04 10:00:00",16,37
470,"2021-06-04 12:00:00",65,34
470,"2021-06-04 14:00:00",47,62
470,"2021-06-04 16:00:00",3,39
470,"2021-06-04 18:00:00",60,37
470,"2021-06-04 20:00:00",1,43
470,"2021-06-04 22:00:00",21,58
470,"2021-06-05 00:00:00",38,37
470,"2021-06-05 02:00:00",88,38
470,"2021-06-05 04:00:00",74,30
470,"2021-06-05 06:00:00",66,56
470,"2021-06-05 08:00:00",54,36
470,"2021-06-05 10:00:00",37,46
470,"2021-06-05 12:00:00",70,42
470,"2021-06-05 14:00:00",3,57
470,"2021-06-05 16:00:00",38,47
470,"2021-06-05 18:00:00",4,53
